,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 15, 08:00 pm",0.093,12409.8,0.975681,327,6.566
"Jan 15, 09:00 pm",-1.208,16779.8,0.976424,334,7.156
"Jan 15, 10:00 pm",-3.459,40284.7,0.977546,340,9.609
"Jan 15, 11:00 pm",-4.713,41607,0.978228,343,9.672
"Jan 16, 12:00 am",-5.764,54411.7,0.978808,345,10.784
"Jan 16, 01:00 am",-6.265,56439.9,0.979363,341,11.06
"Jan 16, 02:00 am",-6.728,44109,0.97993,344,9.838
"Jan 16, 03:00 am",-7.191,31348.6,0.980628,344,8.625
"Jan 16, 04:00 am",-7.575,19761.9,0.981173,343,7.377
"Jan 16, 05:00 am",-7.963,15898.2,0.981777,342,6.936
"Jan 16, 06:00 am",-8.54,14228.2,0.982154,344,6.713
"Jan 16, 07:00 am",-9.091,5448.38,0.982219,352,5.178
"Jan 16, 08:00 am",-9.718,4051.02,0.982393,8,4.848
"Jan 16, 09:00 am",-10.297,2424.11,0.98276,16,4.353
"Jan 16, 10:00 am",-10.818,8450.22,0.983225,17,5.742
"Jan 16, 11:00 am",-11.124,11631.1,0.983449,10,6.221
"Jan 16, 12:00 pm",-11.353,9918.79,0.98361,5,5.983
"Jan 16, 01:00 pm",-10.894,888.7,0.984141,17,3.731
"Jan 16, 02:00 pm",-9.738,0,0.984609,8,3.09
"Jan 16, 03:00 pm",-8.304,0,0.98463,2,3.31
"Jan 16, 04:00 pm",-7.206,0,0.984358,354,3.579
"Jan 16, 05:00 pm",-6.525,0,0.984121,349,3.192
"Jan 16, 06:00 pm",-5.754,0,0.983511,353,2.354
"Jan 16, 07:00 pm",-4.968,0,0.982912,348,1.933
"Jan 16, 08:00 pm",-4.506,0,0.982505,321,1.874
"Jan 16, 09:00 pm",-4.612,0,0.98238,333,2.85
"Jan 16, 10:00 pm",-6.504,772.143,0.982589,38,3.682
"Jan 16, 11:00 pm",-7.127,705.423,0.982891,93,3.688
"Jan 17, 12:00 am",-7.368,907.088,0.982844,89,3.789
"Jan 17, 01:00 am",-7.725,7549.74,0.983213,46,5.592
"Jan 17, 02:00 am",-8.306,13196.6,0.983302,40,6.56
"Jan 17, 03:00 am",-9.163,30331.3,0.983191,58,8.487
"Jan 17, 04:00 am",-9.727,21127.1,0.982935,61,7.491
"Jan 17, 05:00 am",-10.144,11320.3,0.982521,66,6.19
"Jan 17, 06:00 am",-10.55,21385.6,0.98242,68,7.509
"Jan 17, 07:00 am",-10.945,12592.6,0.982435,83,6.519
"Jan 17, 08:00 am",-11.366,8988.74,0.982328,89,5.923
"Jan 17, 09:00 am",-11.791,6240.93,0.982333,101,5.379
"Jan 17, 10:00 am",-12.284,2645.29,0.982356,109,4.417
"Jan 17, 11:00 am",-12.563,774.93,0.982261,115,3.676
"Jan 17, 12:00 pm",-12.554,0,0.982035,135,2.401
"Jan 17, 01:00 pm",-11.19,0,0.981862,133,2.216
"Jan 17, 02:00 pm",-9.376,0,0.981443,132,1.676
"Jan 17, 03:00 pm",-7.758,0,0.980691,163,1.976
"Jan 17, 04:00 pm",-6.18,0,0.979544,180,2.788
