,"Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","AC inverter power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Mar 21, 10:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.1
"Mar 21, 11:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,3.1
"Mar 22, 12:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,4.1
"Mar 22, 01:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,3.6
"Mar 22, 02:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,2.6
"Mar 22, 03:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,2.6
"Mar 22, 04:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,3.1
"Mar 22, 05:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,2.6
"Mar 22, 06:00 am",7.2,87.9297,22,7,26.0414,3.30749,10,5.56737,7.58367,0.00330749,1,2,6.94274,2.6
"Mar 22, 07:00 am",11.7,78.805,441,41,376.777,347.133,115,13.0357,131.685,0.347133,1,1,103.788,4.1
"Mar 22, 08:00 am",12.2,64.3076,586,87,1170.1,1120.96,305,20.2558,353.751,1.12096,1,1,333.019,2.1
"Mar 22, 09:00 am",15,49.898,784,95,2042.71,1965.94,528,29.658,617.713,1.96594,1,1,607.638,2.6
"Mar 22, 10:00 am",16.7,35.7911,865,101,2676.54,2575.62,703,34.8806,819.703,2.57562,1,1,816.674,3.6
"Mar 22, 11:00 am",19.4,22.6179,952,104,3065.55,2948.11,857,48.0889,1001.16,2.94811,1,1,1000.51,1.5
"Mar 22, 12:00 pm",20,13.5142,959,114,3217.5,3093.26,913,50.875,1065.89,3.09326,1,1,1065.75,1.5
"Mar 22, 01:00 pm",21.7,17.1623,958,113,3139.53,3018.81,898,52.1978,1047.62,3.01881,1,1,1047.34,1.5
"Mar 22, 02:00 pm",21.7,29.1057,932,106,2851.2,2743.02,805,49.3777,938.443,2.74302,1,1,936.913,1.5
"Mar 22, 03:00 pm",23.3,42.8913,893,93,2368.8,2280.03,656,44.0234,763.163,2.28003,1,1,756.883,2.1
"Mar 22, 04:00 pm",23.9,57.1867,807,75,1569.92,1508.93,452,46.6966,526.624,1.50893,1,1,508.643,0
"Mar 22, 05:00 pm",21.7,71.6582,625,55,773.013,734.302,225,27.6385,260.04,0.734302,1,1,227.735,3.1
"Mar 22, 06:00 pm",20,84.462,164,27,124.527,99.9584,45,20.1438,44.4085,0.0999584,1,3,35.423,3.1
"Mar 22, 07:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,3.6
"Mar 22, 08:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.6
"Mar 22, 09:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,4.1
"Mar 22, 10:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Mar 22, 11:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.6
"Mar 23, 12:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.6
"Mar 23, 01:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,3.1
"Mar 23, 02:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,3.1
"Mar 23, 03:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,3.6
"Mar 23, 04:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,5.2
"Mar 23, 05:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,2.6
"Mar 23, 06:00 am",8.3,87.9393,11,6,21.9766,0,8,6.99577,6.21462,0,1,2,5.89532,4.6
"Mar 23, 07:00 am",8.9,78.6404,372,45,367.255,337.812,109,9.84395,123.244,0.337812,1,1,99.7487,5.7
"Mar 23, 08:00 am",10.6,64.1347,673,74,1276.3,1224.15,327,15.8526,379.604,1.22415,1,1,356.038,6.7
"Mar 23, 09:00 am",13.3,49.7091,795,99,2149.09,2068.5,542,23.5007,630.971,2.0685,1,1,620.91,6.2
"Mar 23, 10:00 am",15.6,35.5699,864,117,2799.56,2693.55,721,31.3642,842.613,2.69355,1,1,839.657,5.2
"Mar 23, 11:00 am",17.2,22.3269,896,128,3212.89,3088.86,841,33.9489,976.441,3.08886,1,1,975.845,6.2
"Mar 23, 12:00 pm",18.9,13.1141,910,132,3396.27,3263.78,895,35.284,1038.47,3.26378,1,1,1038.34,7.2
"Mar 23, 01:00 pm",20,16.9128,873,173,3386.54,3254.51,892,35.7609,1038.06,3.25451,1,1,1037.81,7.7
"Mar 23, 02:00 pm",21.1,28.9916,848,162,2995.5,2881.14,801,38.1938,930.544,2.88114,1,1,929.171,5.7
"Mar 23, 03:00 pm",21.7,42.8321,803,140,2458.87,2366.63,648,34.1432,753.159,2.36663,1,1,747.543,6.7
"Mar 23, 04:00 pm",21.1,57.1525,612,122,1551.33,1490.91,409,27.7269,470.827,1.49091,1,1,457.224,8.2
"Mar 23, 05:00 pm",20.6,71.6357,393,94,706.152,669.065,202,23.9835,224.774,0.669065,1,1,204.481,6.2
"Mar 23, 06:00 pm",18.9,84.5353,27,29,103.023,78.8625,32,18.5886,30.5687,0.0788625,1,3,29.0982,6.7
"Mar 23, 07:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,5.7
"Mar 23, 08:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,5.7
"Mar 23, 09:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,8.2
"Mar 23, 10:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,6.7
"Mar 23, 11:00 pm",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,7.2
"Mar 24, 12:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,7.2
"Mar 24, 01:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,6.7
"Mar 24, 02:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,5.7
"Mar 24, 03:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,6.2
"Mar 24, 04:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,8.2
"Mar 24, 05:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,6.2
"Mar 24, 06:00 am",11.1,87.948,7,9,32.258,9.41074,10,10.2405,8.97926,0.00941074,1,2,8.77674,8.2
"Mar 24, 07:00 am",11.7,78.476,7,65,231.364,204.712,67,11.5985,63.7686,0.204712,1,1,63.3273,6.2
"Mar 24, 08:00 am",11.1,63.9626,1,69,241.463,214.609,69,11.1006,65.981,0.214609,1,1,65.9464,6.7
"Mar 24, 09:00 am",10.6,49.522,5,128,459.441,428.016,131,11.5891,125.812,0.428016,1,1,125.75,6.7
"Mar 24, 10:00 am",10.6,35.3513,4,213,760.113,721.718,216,13.165,209.517,0.721718,1,1,209.504,6.2
"Mar 24, 11:00 am",10.6,22.0393,1,194,684.01,647.452,195,12.7861,188.211,0.647452,1,1,188.211,6.7
"Mar 24, 12:00 pm",11.1,12.7145,8,407,1463.71,1406,413,17.237,410.882,1.406,1,1,410.881,6.2
"Mar 24, 01:00 pm",11.7,16.6695,2,224,789.309,750.196,225,14.6356,218.986,0.750197,1,1,218.985,6.7
"Mar 24, 02:00 pm",12.2,28.8825,1,183,640.123,604.602,184,14.2309,177.275,0.604602,1,1,177.273,6.7
"Mar 24, 03:00 pm",12.8,42.7762,2,262,921.546,879.092,263,16.1146,257.393,0.879092,1,1,257.379,6.7
"Mar 24, 04:00 pm",12.8,57.1204,2,132,461.598,430.126,133,14.1362,127.824,0.430126,1,1,127.779,6.2
"Mar 24, 05:00 pm",12.8,71.6145,1,73,253.894,226.79,73,12.9461,69.9623,0.22679,1,1,69.9107,7.2
"Mar 24, 06:00 pm",12.8,84.6089,0,30,104.045,79.8654,30,12.2044,28.5551,0.0798654,1,3,28.5551,6.7
"Mar 24, 07:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,7.2
"Mar 24, 08:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,5.7
"Mar 24, 09:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,5.7
"Mar 24, 10:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,4.1
"Mar 24, 11:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,4.1
"Mar 25, 12:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,5.2
"Mar 25, 01:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,5.2
"Mar 25, 02:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,5.2
"Mar 25, 03:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,4.6
"Mar 25, 04:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.6
"Mar 25, 05:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,4.1
"Mar 25, 06:00 am",12.8,87.9561,0,7,24.829,2.11716,7,11.3618,6.78892,0.00211716,1,2,6.78892,3.6
"Mar 25, 07:00 am",12.2,78.3119,0,80,280.802,253.153,80,12.3378,77.1114,0.253153,1,1,77.1114,4.1
"Mar 25, 08:00 am",12.8,63.7916,1,176,616.721,581.747,177,15.4296,171.748,0.581747,1,1,171.714,3.1
"Mar 25, 09:00 am",13.3,49.3367,1,296,1036.15,990.679,296,18.1857,292.128,0.990679,1,1,292.116,4.6
"Mar 25, 10:00 am",14.4,35.1356,2,362,1248.94,1197.57,363,22.5408,359.238,1.19757,1,1,359.231,2.6
"Mar 25, 11:00 am",16.7,21.7552,1,407,1370.2,1315.3,408,27.8488,404.076,1.3153,1,1,404.075,1.5
"Mar 25, 12:00 pm",19.4,12.3155,594,340,2979.32,2865.66,842,45.6695,960.185,2.86566,1,1,960.117,1.5
"Mar 25, 01:00 pm",20.6,16.4329,613,238,2670.51,2569.84,746,46.1181,862.773,2.56984,1,1,862.615,1.5
"Mar 25, 02:00 pm",22.8,28.7787,527,289,2424.27,2333.37,689,45.8053,782.629,2.33337,1,1,781.797,1.5
"Mar 25, 03:00 pm",23.3,42.7236,639,199,2229.27,2145.74,607,37.5218,693.6,2.14574,1,1,689.174,4.6
"Mar 25, 04:00 pm",23.9,57.0905,581,151,1561.47,1500.74,427,31.2761,480.983,1.50074,1,1,468.125,7.2
"Mar 25, 05:00 pm",23.3,71.5945,504,86,773.437,734.716,228,27.233,253.401,0.734716,1,1,227.421,6.2
"Mar 25, 06:00 pm",20.6,84.6828,27,40,139.206,114.357,43,20.6611,41.1451,0.114357,1,3,39.6929,3.1
"Mar 25, 07:00 pm",19.4,0,0,0,0,0,0,19.4,0,0,1,0,0,3.1
"Mar 25, 08:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Mar 25, 09:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,2.6
"Mar 25, 10:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,1.5
"Mar 25, 11:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.6
"Mar 26, 12:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.1
"Mar 26, 01:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,1.5
"Mar 26, 02:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,0
"Mar 26, 03:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,0
"Mar 26, 04:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,2.1
"Mar 26, 05:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,1.5
"Mar 26, 06:00 am",9.4,87.9635,7,8,28.6502,5.86876,8,7.48567,7.90319,0.00586876,1,2,7.70188,1.5
"Mar 26, 07:00 am",12.8,78.1482,208,69,361.983,332.652,107,13.8723,113.148,0.332652,1,1,100.086,2.6
"Mar 26, 08:00 am",15.6,63.6218,363,165,1117.05,1069.38,307,22.204,333.12,1.06938,1,1,320.793,3.1
"Mar 26, 09:00 am",17.8,49.1533,142,223,1098.95,1051.78,304,25.1168,321.637,1.05178,1,1,319.919,2.6
"Mar 26, 10:00 am",20,34.9229,584,253,2457.5,2365.31,669,36.9455,759.416,2.36531,1,1,757.55,3.1
"Mar 26, 11:00 am",21.7,21.475,285,357,2094.77,2016.14,587,38.0517,649.479,2.01614,1,1,649.312,2.6
"Mar 26, 12:00 pm",22.8,11.9172,455,325,2548.61,2452.84,711,42.5717,808.33,2.45284,1,1,808.282,2.6
"Mar 26, 01:00 pm",22.8,16.203,343,372,2284.71,2199.12,658,44.2775,731.059,2.19912,1,1,730.975,1.5
"Mar 26, 02:00 pm",22.8,28.6799,108,343,1478.87,1420.69,425,35.2079,452.133,1.42069,1,1,451.965,2.1
"Mar 26, 03:00 pm",22.8,42.6743,240,268,1506.15,1447.14,422,34.5839,460.546,1.44714,1,1,458.892,2.1
"Mar 26, 04:00 pm",21.7,57.0627,350,193,1280.68,1228.39,360,31.7796,392.612,1.22839,1,1,384.881,2.1
"Mar 26, 05:00 pm",21.7,71.5757,119,116,508.821,476.304,150,25.0542,154.21,0.476304,1,1,148.081,2.6
"Mar 26, 06:00 pm",20.6,84.7568,55,31,114,89.6316,38,20.2694,35.386,0.0896316,1,3,32.4473,3.1
"Mar 26, 07:00 pm",18.3,0,0,0,0,0,0,18.3,0,0,1,0,0,2.6
"Mar 26, 08:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,2.6
"Mar 26, 09:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,2.6
"Mar 26, 10:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,2.6
"Mar 26, 11:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,2.6
"Mar 27, 12:00 am",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Mar 27, 01:00 am",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Mar 27, 02:00 am",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Mar 27, 03:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.1
"Mar 27, 04:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,3.1
"Mar 27, 05:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,2.6
"Mar 27, 06:00 am",13.9,87.9703,0,4,13.7671,0,4,12.3497,3.7808,0,1,2,3.7808,3.1
"Mar 27, 07:00 am",13.3,77.985,12,54,193.151,167.256,56,12.9676,53.9419,0.167256,1,1,53.19,4.6
"Mar 27, 08:00 am",13.9,63.4532,4,130,455.456,424.119,132,15.1731,126.801,0.424119,1,1,126.666,4.6
"Mar 27, 09:00 am",15,48.9721,1,240,827.379,787.32,240,19.2856,234.445,0.78732,1,1,234.433,3.1
"Mar 27, 10:00 am",15,34.7133,0,179,611.118,576.273,179,18.2821,172.365,0.576273,1,1,172.365,2.6
"Mar 27, 11:00 am",17.2,21.1988,4,423,1442.9,1385.82,426,26.572,422.944,1.38582,1,1,422.941,2.6
"Mar 27, 12:00 pm",18.3,11.5197,5,391,1322.54,1269.04,395,28.2347,390.737,1.26904,1,1,390.737,2.1
"Mar 27, 01:00 pm",18.9,15.9802,2,428,1444.46,1387.33,430,27.9026,426.085,1.38733,1,1,426.084,3.6
"Mar 27, 02:00 pm",17.2,28.5862,3,232,787.182,748.122,234,23.5711,227.51,0.748122,1,1,227.505,1.5
"Mar 27, 03:00 pm",16.1,42.6282,1,172,587.558,553.257,172,19.0223,166.287,0.553258,1,1,166.281,3.1
"Mar 27, 04:00 pm",16.1,57.0368,0,124,421.62,391.017,124,17.9771,118.752,0.391017,1,1,118.752,2.1
"Mar 27, 05:00 pm",17.2,71.5579,26,102,377.845,348.178,109,18.3277,107.931,0.348178,1,1,106.593,4.1
"Mar 27, 06:00 pm",16.7,84.831,1,30,102.099,77.9553,30,16.1216,28.5691,0.0779554,1,3,28.5161,5.2
"Mar 27, 07:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.1
"Mar 27, 08:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.6
"Mar 27, 09:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,2.1
"Mar 27, 10:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,2.1
"Mar 27, 11:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.1
"Mar 28, 12:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,2.6
"Mar 28, 01:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,0
"Mar 28, 02:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,2.1
"Mar 28, 03:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,0
"Mar 28, 04:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.6
"Mar 28, 05:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,1.5
"Mar 28, 06:00 am",13.9,87.9767,2,11,38.03,15.0772,11,12.1151,10.4904,0.0150772,1,2,10.4331,1.5
"Mar 28, 07:00 am",14.4,77.8225,1,68,235.184,208.456,69,14.2729,65.2057,0.208456,1,1,65.1432,2.6
"Mar 28, 08:00 am",14.4,63.2861,2,176,611.844,576.983,177,17.0123,171.643,0.576983,1,1,171.577,3.1
"Mar 28, 09:00 am",16.1,48.7931,9,268,937.704,894.831,274,21.0492,267.96,0.894831,1,1,267.855,3.6
"Mar 28, 10:00 am",18.9,34.507,744,159,2588.23,2490.88,696,36.6373,798.9,2.49088,1,1,796.628,3.1
"Mar 28, 11:00 am",22.2,20.9269,854,132,2919.96,2808.85,828,47.0678,948.346,2.80885,1,1,947.885,2.1
"Mar 28, 12:00 pm",23.9,11.1232,951,101,3121.66,3001.74,916,53.98,1051.56,3.00174,1,1,1051.48,1.5
"Mar 28, 01:00 pm",24.4,15.7647,950,100,3165.5,3043.62,898,47.7553,1031.53,3.04362,1,1,1031.31,3.6
"Mar 28, 02:00 pm",25,28.4977,934,94,2653.8,2553.81,813,61.0603,931.127,2.55381,1,1,929.703,0
"Mar 28, 03:00 pm",25,42.5853,895,84,2348.62,2260.62,663,44.2258,757.341,2.26062,1,1,751.222,2.6
"Mar 28, 04:00 pm",24.4,57.0128,823,68,1637.03,1573.91,465,38.7527,527.329,1.57391,1,1,509.215,2.1
"Mar 28, 05:00 pm",23.9,71.5412,666,47,777.114,738.302,239,29.3535,265.079,0.738302,1,1,230.827,4.1
"Mar 28, 06:00 pm",22.8,84.9053,265,24,120.434,95.9433,54,23.1759,48.7084,0.0959433,1,3,34.7428,2.6
"Mar 28, 07:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,4.6
"Mar 28, 08:00 pm",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,4.1
"Mar 28, 09:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,3.1
"Mar 28, 10:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Mar 28, 11:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.6
"Mar 29, 12:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,2.1
"Mar 29, 01:00 am",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,3.1
"Mar 29, 02:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.6
"Mar 29, 03:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,3.6
"Mar 29, 04:00 am",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Mar 29, 05:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,4.1
"Mar 29, 06:00 am",15,87.9827,2,17,58.0386,34.7177,18,13.8076,16.0997,0.0347177,1,2,16.0426,3.1
"Mar 29, 07:00 am",15.6,77.6608,9,79,276.198,248.643,81,15.7976,77.5903,0.248643,1,1,77.0293,5.7
"Mar 29, 08:00 am",16.1,63.1204,32,142,543.496,510.2,155,17.6999,153.94,0.5102,1,1,152.886,6.2
"Mar 29, 09:00 am",16.7,48.6165,8,230,806.351,766.816,235,19.4299,228.718,0.766816,1,1,228.626,7.2
"Mar 29, 10:00 am",17.2,34.3041,10,284,997.577,953.134,291,21.2796,285.291,0.953134,1,1,285.261,6.2
"Mar 29, 11:00 am",18.3,20.6595,11,330,1154.13,1105.44,339,23.5688,333.561,1.10544,1,1,333.556,5.7
"Mar 29, 12:00 pm",18.9,10.7279,8,385,1331.26,1277.5,392,24.894,387.141,1.2775,1,1,387.141,6.2
"Mar 29, 01:00 pm",18.9,15.5568,7,356,1226.43,1175.7,362,24.7326,356.388,1.1757,1,1,356.386,5.7
"Mar 29, 02:00 pm",19.4,28.4142,4,366,1251.5,1200.06,370,24.7534,363.713,1.20006,1,1,363.707,6.7
"Mar 29, 03:00 pm",19.4,42.5454,1,312,1064.18,1017.96,313,22.9495,306.679,1.01796,1,1,306.672,9.3
"Mar 29, 04:00 pm",18.9,56.9906,1,246,840.349,799.964,247,21.8737,240.984,0.799965,1,1,240.962,7.7
"Mar 29, 05:00 pm",18.3,71.5254,1,115,391.251,361.3,116,19.3291,110.932,0.3613,1,1,110.881,6.7
"Mar 29, 06:00 pm",17.8,84.9797,0,33,111.351,87.0331,33,17.3716,31.2767,0.0870332,1,3,31.2767,7.2
"Mar 29, 07:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,7.7
"Mar 29, 08:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,7.2
"Mar 29, 09:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,6.7
"Mar 29, 10:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,5.2
"Mar 29, 11:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,5.2
"Mar 30, 12:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.6
"Mar 30, 01:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.1
"Mar 30, 02:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,8.8
"Mar 30, 03:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,3.1
"Mar 30, 04:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,2.1
"Mar 30, 05:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,1.5
"Mar 30, 06:00 am",14.4,87.9883,0,14,48.1638,25.025,14,13.0804,13.27,0.025025,1,2,13.27,3.1
"Mar 30, 07:00 am",15,77.5,0,72,247.418,220.445,72,15.0154,68.7605,0.220445,1,1,68.7605,4.6
"Mar 30, 08:00 am",15,62.9564,1,164,565.695,531.895,165,17.3211,158.89,0.531896,1,1,158.858,3.1
"Mar 30, 09:00 am",15.6,48.4423,0,271,929.016,886.368,272,20.4413,264.631,0.886368,1,1,264.631,3.6
"Mar 30, 10:00 am",17.2,34.1048,271,306,1848.46,1778.4,503,29.2467,549.562,1.7784,1,1,548.77,3.1
"Mar 30, 11:00 am",17.8,20.397,5,300,1027.28,982.047,304,23.9589,297.438,0.982047,1,1,297.436,4.1
"Mar 30, 12:00 pm",18.9,10.3337,11,351,1226.38,1175.66,360,24.0395,355.218,1.17566,1,1,355.217,6.7
"Mar 30, 01:00 pm",19.4,15.3566,350,333,2327.42,2240.22,630,30.7513,696.057,2.24022,1,1,695.983,6.2
"Mar 30, 02:00 pm",19.4,28.3358,4,235,802.889,763.44,238,22.7665,231.183,0.76344,1,1,231.177,7.2
"Mar 30, 03:00 pm",17.8,42.5085,10,154,546.932,513.558,160,19.4592,155.161,0.513558,1,1,155.093,7.2
"Mar 30, 04:00 pm",15.6,56.9703,7,86,306.207,278.038,89,15.9425,85.6078,0.278038,1,1,85.4542,10.3
"Mar 30, 05:00 pm",12.8,71.5105,7,48,172.54,147.047,50,12.5033,47.7757,0.147047,1,1,47.4162,5.2
"Mar 30, 06:00 pm",10,85.054,0,16,55.9148,32.6332,16,9.34482,15.1536,0.0326332,1,3,15.1536,10.3
"Mar 30, 07:00 pm",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,6.7
"Mar 30, 08:00 pm",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,11.8
"Mar 30, 09:00 pm",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,10.3
"Mar 30, 10:00 pm",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,13.9
"Mar 30, 11:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,9.3
"Mar 31, 12:00 am",2.8,0,0,0,0,0,0,2.8,0,0,1,0,0,7.7
"Mar 31, 01:00 am",2.2,0,0,0,0,0,0,2.2,0,0,1,0,0,10.3
"Mar 31, 02:00 am",2.2,0,0,0,0,0,0,2.2,0,0,1,0,0,7.2
"Mar 31, 03:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,10.3
"Mar 31, 04:00 am",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,9.3
"Mar 31, 05:00 am",0.6,0,0,0,0,0,0,0.6,0,0,1,0,0,9.3
"Mar 31, 06:00 am",0,87.9937,0,10,36.4955,13.5708,10,-0.876316,9.46713,0.0135708,1,2,9.46713,8.8
"Mar 31, 07:00 am",0,77.3402,1,90,331.463,302.771,91,0.171574,86.4244,0.302771,1,1,86.3624,10.3
"Mar 31, 08:00 am",0,62.7942,1,179,663.133,627.07,179,1.40312,173.711,0.62707,1,1,173.679,9.3
"Mar 31, 09:00 am",1.1,48.2706,3,257,952.156,908.906,259,4.09618,252.284,0.908906,1,1,252.25,7.2
"Mar 31, 10:00 am",1.7,33.9093,20,285,1104.65,1057.32,300,5.44598,294.406,1.05732,1,1,294.349,7.2
"Mar 31, 11:00 am",2.2,20.1395,1,322,1184.51,1134.97,323,5.54242,315.762,1.13497,1,1,315.762,9.8
"Mar 31, 12:00 pm",3.3,9.94098,294,370,2506.88,2412.75,625,12.0992,687.707,2.41275,1,1,687.688,8.8
"Mar 31, 01:00 pm",3.3,15.1644,4,311,1142.98,1094.59,315,7.71483,307.567,1.09459,1,1,307.566,7.2
"Mar 31, 02:00 pm",2.8,28.2623,93,404,1829.01,1759.6,476,8.08709,493.109,1.7596,1,1,492.972,10.8
"Mar 31, 03:00 pm",4.4,42.4746,32,238,969.98,926.263,259,6.98087,260.401,0.926264,1,1,260.184,10.8
"Mar 31, 04:00 pm",4.4,56.9516,215,248,1348.6,1294.33,354,8.94781,369.564,1.29433,1,1,364.853,8.2
"Mar 31, 05:00 pm",3.9,71.4963,87,99,457.966,426.573,125,4.84846,126.184,0.426573,1,1,121.719,9.8
"Mar 31, 06:00 pm",3.6,85.1283,152,31,135.95,111.164,48,3.23212,43.7178,0.111164,1,3,35.8839,6
"Mar 31, 07:00 pm",2.5,0,0,0,0,0,0,2.5,0,0,1,0,0,4.9
"Mar 31, 08:00 pm",2,0,0,0,0,0,0,2,0,0,1,0,0,3.6
"Mar 31, 09:00 pm",1.4,0,0,0,0,0,0,1.4,0,0,1,0,0,2.6
"Mar 31, 10:00 pm",1.4,0,0,0,0,0,0,1.4,0,0,1,0,0,2.1
"Mar 31, 11:00 pm",1.4,0,0,0,0,0,0,1.4,0,0,1,0,0,1.8
